"";"it";"Media Acc Key";"Sd Acc Key";"Media Acc Text";"Sd Acc Text";"Media Acceptance Rate";"Sd Acceptance Rate"
"1";5000;0,251851851851852;0,161485415836328;0,398484848484848;0,298737536642351;0,25034;0,00952052630124152
"2";10000;0,309259259259259;0,13395727953297;0,543181818181818;0,242935813900924;0,246455;0,00597578226546204
"3";50000;0,375925925925926;0,103560887457656;0,675;0,152585929254271;0,246101;0,00226925886347805
